"Country,Other",TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Active Cases/1M pop
Faeroe Islands,34237,28,7693,26516,696199.0,569.0,778000,15820404.0,49177,Europe,539195.0
Falkland Islands,118,,,,32320.0,,8632,2364284.0,3651,South America,9039.0
Fiji,64074,834,62218,1022,70609.0,919.0,502044,553250.0,907445,Australia/Oceania,1126.0
Finland,734262,2653,46000,685609,132173.0,478.0,10113235,1820467.0,5555296,Europe,123415.0
France,23514144,140109,22163944,1210091,358895.0,2138.0,246629975,3764303.0,65518106,Europe,18470.0
French Guiana,78075,394,11254,66427,250418.0,1264.0,602022,1930925.0,311779,South America,213058.0
Gabon,47564,303,47224,37,20550.0,131.0,1582929,683892.0,2314590,Africa,16.0
Gambia,11973,365,11591,17,4730.0,144.0,155686,61499.0,2531508,Africa,7.0
Georgia,1635509,16554,1585885,33070,411325.0,4163.0,16074355,4042642.0,3976200,Asia,8317.0
Germany,17240479,126109,13349900,3764470,204665.0,1497.0,104701826,1242934.0,84237616,Europe,44689.0
Ghana,160716,1445,159112,159,4996.0,45.0,2368482,73623.0,32170521,Africa,5.0
Gibraltar,15840,101,15413,326,470393.0,2999.0,521652,15491240.0,33674,Europe,9681.0
Greece,2635614,26562,2412359,196693,254973.0,2570.0,69164840,6691103.0,10336837,Europe,19028.0
Greenland,11856,20,2761,9075,208230.0,351.0,164926,2896640.0,56937,North America,159387.0
Grenada,13690,216,13336,138,120717.0,1905.0,136411,1202855.0,113406,North America,1217.0
Guadeloupe,130705,843,2250,127612,326567.0,2106.0,938039,2343691.0,400240,North America,318839.0
Guatemala,805030,17153,763094,24783,43571.0,928.0,4071026,220336.0,18476451,North America,1341.0
Guinea,36427,440,33000,2987,2652.0,32.0,660107,48059.0,13735368,Africa,217.0
Guinea-Bissau,8068,168,7067,833,3942.0,82.0,126197,61659.0,2046698,Africa,407.0
Guyana,63144,1224,61699,221,79629.0,1544.0,552319,696512.0,792979,South America,279.0
Haiti,30461,827,26538,3096,2617.0,71.0,132422,11379.0,11637859,North America,266.0
Honduras,416729,10834,131100,274795,40971.0,1065.0,1263329,124206.0,10171253,North America,27017.0
Hong Kong,706877,3993,13232,689652,93010.0,525.0,36260319,4771113.0,7599970,Asia,90744.0
Hungary,1814362,44653,1650643,119066,188626.0,4642.0,10921558,1135437.0,9618811,Europe,12378.0
Iceland,161671,79,75685,85907,468621.0,229.0,1820155,5275919.0,344993,Europe,249011.0
India,42993494,515907,42441449,36138,30644.0,368.0,778520151,554906.0,1402976534,Asia,26.0
Indonesia,5890495,152166,5395433,342896,21157.0,547.0,88910570,319339.0,278420656,Asia,1232.0
Iran,7123093,138949,6779949,204195,83007.0,1619.0,48179304,561445.0,85812985,Asia,2380.0
Iraq,2312713,25099,2266134,21480,55395.0,601.0,18148046,434687.0,41749711,Asia,514.0
Ireland,1341826,6611,1229577,105638,266703.0,1314.0,11510702,2287878.0,5031170,Europe,20997.0
Isle of Man,24346,81,23195,1070,283769.0,944.0,150753,1757130.0,85795,Europe,12472.0
Israel,3719444,10379,3667446,41619,398825.0,1113.0,41373364,4436346.0,9326000,Asia,4463.0
Italy,13373207,156868,12216835,999504,221736.0,2601.0,192560616,3192780.0,60311266,Europe,16572.0
Ivory Coast,81597,796,80717,84,2969.0,29.0,1446043,52615.0,27483361,Africa,3.0
Jamaica,128379,2845,79233,46301,43036.0,954.0,881186,295397.0,2983054,North America,15521.0
Japan,5720394,26029,5107806,586559,45465.0,207.0,40958801,325533.0,125820786,Asia,4662.0
Jordan,1654677,13882,1572386,68409,159493.0,1338.0,16319298,1573000.0,10374634,Asia,6594.0
Kazakhstan,1304442,13642,1280693,10107,68092.0,712.0,11575012,604220.0,19156950,Asia,528.0
Kenya,323183,5645,317491,47,5794.0,101.0,3440216,61680.0,55775447,Africa,0.8
Kuwait,625461,2550,618690,4221,142881.0,583.0,7763313,1773465.0,4377483,Asia,964.0
Kyrgyzstan,200731,2973,195850,1908,29931.0,443.0,1907195,284385.0,6706387,Asia,285.0
Laos,146328,641,7660,138027,19630.0,86.0,1002806,134528.0,7454278,Asia,18516.0
Latvia,742336,5436,638869,98031,401071.0,2937.0,6906535,3731475.0,1850886,Europe,52964.0
